Journal,Year,Documents
Journal of HIV/AIDS & Social Services,2009,26
Journal of HIV/AIDS & Social Services,2010,26
Journal of HIV/AIDS & Social Services,2011,28
Journal of HIV/AIDS & Social Services,2012,28
Journal of HIV/AIDS & Social Services,2013,29
Journal of HIV/AIDS & Social Services,2014,33
Journal of HIV/AIDS & Social Services,2015,8
Journal of Social Service Research,1996,13
Journal of Social Service Research,1997,16
Journal of Social Service Research,1998,12
Journal of Social Service Research,1999,32
Journal of Social Service Research,2000,15
Journal of Social Service Research,2001,15
Journal of Social Service Research,2002,6
Journal of Social Service Research,2003,19
Journal of Social Service Research,2004,16
Journal of Social Service Research,2005,13
Journal of Social Service Research,2006,37
Journal of Social Service Research,2007,25
Journal of Social Service Research,2008,14
Journal of Social Service Research,2009,32
Journal of Social Service Research,2010,35
Journal of Social Service Research,2011,46
Journal of Social Service Research,2012,58
Journal of Social Service Research,2013,51
Journal of Social Service Research,2014,53
Journal of Social Service Research,2015,20
Social Service Review,1996,23
Social Service Review,1997,26
Social Service Review,1998,23
Social Service Review,1999,21
Social Service Review,2000,30
Social Service Review,2001,18
Social Service Review,2002,24
Social Service Review,2003,24
Social Service Review,2004,24
Social Service Review,2005,23
Social Service Review,2006,24
Social Service Review,2007,24
Social Service Review,2008,24
Social Service Review,2009,22
Social Service Review,2010,23
Social Service Review,2011,21
Social Service Review,2012,17
Social Service Review,2013,24
Social Service Review,2014,23
Social Service Review,2015,4
International Journal of Social Welfare,1996,31
International Journal of Social Welfare,1997,33
International Journal of Social Welfare,1998,38
International Journal of Social Welfare,1999,31
International Journal of Social Welfare,2000,27
International Journal of Social Welfare,2001,31
International Journal of Social Welfare,2002,38
International Journal of Social Welfare,2003,32
International Journal of Social Welfare,2004,31
International Journal of Social Welfare,2005,37
International Journal of Social Welfare,2006,48
International Journal of Social Welfare,2007,57
International Journal of Social Welfare,2008,50
International Journal of Social Welfare,2009,53
International Journal of Social Welfare,2010,62
International Journal of Social Welfare,2011,59
International Journal of Social Welfare,2012,52
International Journal of Social Welfare,2013,49
International Journal of Social Welfare,2014,49
International Journal of Social Welfare,2015,19
Journal of Sociology & Social Welfare,1996,0
Journal of Sociology & Social Welfare,1997,0
Journal of Sociology & Social Welfare,1998,0
Journal of Sociology & Social Welfare,1999,0
Journal of Sociology & Social Welfare,2000,0
Journal of Sociology & Social Welfare,2001,0
Journal of Sociology & Social Welfare,2002,0
Journal of Sociology & Social Welfare,2003,0
Journal of Sociology & Social Welfare,2004,0
Journal of Sociology & Social Welfare,2005,36
Journal of Sociology & Social Welfare,2006,42
Journal of Sociology & Social Welfare,2007,43
Journal of Sociology & Social Welfare,2008,34
Journal of Sociology & Social Welfare,2009,33
Journal of Sociology & Social Welfare,2010,22
Journal of Sociology & Social Welfare,2011,40
Journal of Sociology & Social Welfare,2012,32
Journal of Sociology & Social Welfare,2013,40
Journal of Sociology & Social Welfare,2014,8
Journal of Sociology & Social Welfare,2015,0
Children & Schools,1996,0
Children & Schools,1997,0
Children & Schools,1998,0
Children & Schools,1999,0
Children & Schools,2000,0
Children & Schools,2001,0
Children & Schools,2002,0
Children & Schools,2003,0
Children & Schools,2004,0
Children & Schools,2005,25
Children & Schools,2006,26
Children & Schools,2007,31
Children & Schools,2008,24
Children & Schools,2009,29
Children & Schools,2010,27
Children & Schools,2011,27
Children & Schools,2012,28
Children & Schools,2013,20
Children & Schools,2014,34
Children & Schools,2015,0
Families in Society,1996,53
Families in Society,1997,58
Families in Society,1998,56
Families in Society,1999,59
Families in Society,2000,54
Families in Society,2001,58
Families in Society,2002,75
Families in Society,2003,66
Families in Society,2004,66
Families in Society,2005,63
Families in Society,2006,72
Families in Society,2007,72
Families in Society,2008,68
Families in Society,2009,62
Families in Society,2010,61
Families in Society,2011,65
Families in Society,2012,42
Families in Society,2013,19
Families in Society,2014,18
Families in Society,2015,0
Journal of Human Behavior in the Social Environment,1996,0
Journal of Human Behavior in the Social Environment,1997,0
Journal of Human Behavior in the Social Environment,1998,1
Journal of Human Behavior in the Social Environment,1999,0
Journal of Human Behavior in the Social Environment,2000,0
Journal of Human Behavior in the Social Environment,2001,0
Journal of Human Behavior in the Social Environment,2002,0
Journal of Human Behavior in the Social Environment,2003,0
Journal of Human Behavior in the Social Environment,2004,0
Journal of Human Behavior in the Social Environment,2005,39
Journal of Human Behavior in the Social Environment,2006,34
Journal of Human Behavior in the Social Environment,2007,82
Journal of Human Behavior in the Social Environment,2008,47
Journal of Human Behavior in the Social Environment,2009,48
Journal of Human Behavior in the Social Environment,2010,62
Journal of Human Behavior in the Social Environment,2011,67
Journal of Human Behavior in the Social Environment,2012,69
Journal of Human Behavior in the Social Environment,2013,72
Journal of Human Behavior in the Social Environment,2014,86
Journal of Human Behavior in the Social Environment,2015,30
Journal of Progressive Human Services,1996,0
Journal of Progressive Human Services,1997,0
Journal of Progressive Human Services,1998,0
Journal of Progressive Human Services,1999,0
Journal of Progressive Human Services,2000,0
Journal of Progressive Human Services,2001,0
Journal of Progressive Human Services,2002,0
Journal of Progressive Human Services,2003,0
Journal of Progressive Human Services,2004,0
Journal of Progressive Human Services,2005,10
Journal of Progressive Human Services,2006,11
Journal of Progressive Human Services,2007,12
Journal of Progressive Human Services,2008,9
Journal of Progressive Human Services,2009,7
Journal of Progressive Human Services,2010,12
Journal of Progressive Human Services,2011,9
Journal of Progressive Human Services,2012,19
Journal of Progressive Human Services,2013,26
Journal of Progressive Human Services,2014,13
Journal of Progressive Human Services,2015,5
Journal of Psychosocial Oncology,1996,20
Journal of Psychosocial Oncology,1997,18
Journal of Psychosocial Oncology,1998,10
Journal of Psychosocial Oncology,1999,24
Journal of Psychosocial Oncology,2000,20
Journal of Psychosocial Oncology,2001,20
Journal of Psychosocial Oncology,2002,18
Journal of Psychosocial Oncology,2003,19
Journal of Psychosocial Oncology,2004,23
Journal of Psychosocial Oncology,2005,23
Journal of Psychosocial Oncology,2006,28
Journal of Psychosocial Oncology,2007,34
Journal of Psychosocial Oncology,2008,21
Journal of Psychosocial Oncology,2009,23
Journal of Psychosocial Oncology,2010,43
Journal of Psychosocial Oncology,2011,42
Journal of Psychosocial Oncology,2012,41
Journal of Psychosocial Oncology,2013,41
Journal of Psychosocial Oncology,2014,42
Journal of Psychosocial Oncology,2015,12
Journal of Technology in Human Services,1996,24
Journal of Technology in Human Services,1997,18
Journal of Technology in Human Services,1998,28
Journal of Technology in Human Services,1999,16
Journal of Technology in Human Services,2000,17
Journal of Technology in Human Services,2001,23
Journal of Technology in Human Services,2002,15
Journal of Technology in Human Services,2003,25
Journal of Technology in Human Services,2004,12
Journal of Technology in Human Services,2005,18
Journal of Technology in Human Services,2006,20
Journal of Technology in Human Services,2007,26
Journal of Technology in Human Services,2008,25
Journal of Technology in Human Services,2009,22
Journal of Technology in Human Services,2010,20
Journal of Technology in Human Services,2011,19
Journal of Technology in Human Services,2012,29
Journal of Technology in Human Services,2013,23
Journal of Technology in Human Services,2014,22
Journal of Technology in Human Services,2015,8
