"journal","pubYear","n","N","N.year.overall","N.percent","years_avail"
"Clinical Social Work Journal","2008","1",23,34,67.6470588235294,4
"Clinical Social Work Journal","2008","2",8,34,23.5294117647059,4
"Clinical Social Work Journal","2008","3",2,34,5.88235294117647,4
"Clinical Social Work Journal","2008","4+",1,34,2.94117647058824,4
"Clinical Social Work Journal","2009","1",30,35,85.7142857142857,3
"Clinical Social Work Journal","2009","2",4,35,11.4285714285714,3
"Clinical Social Work Journal","2009","4+",1,35,2.85714285714286,3
"Clinical Social Work Journal","2010","1",25,43,58.1395348837209,4
"Clinical Social Work Journal","2010","2",10,43,23.2558139534884,4
"Clinical Social Work Journal","2010","3",6,43,13.953488372093,4
"Clinical Social Work Journal","2010","4+",2,43,4.65116279069767,4
"Clinical Social Work Journal","2011","1",25,43,58.1395348837209,4
"Clinical Social Work Journal","2011","2",10,43,23.2558139534884,4
"Clinical Social Work Journal","2011","3",6,43,13.953488372093,4
"Clinical Social Work Journal","2011","4+",2,43,4.65116279069767,4
"Clinical Social Work Journal","2012","1",22,44,50,4
"Clinical Social Work Journal","2012","2",13,44,29.5454545454545,4
"Clinical Social Work Journal","2012","3",3,44,6.81818181818182,4
"Clinical Social Work Journal","2012","4+",6,44,13.6363636363636,4
"Clinical Social Work Journal","2013","1",27,39,69.2307692307692,4
"Clinical Social Work Journal","2013","2",6,39,15.3846153846154,4
"Clinical Social Work Journal","2013","3",5,39,12.8205128205128,4
"Clinical Social Work Journal","2013","4+",1,39,2.56410256410256,4
"Contemporary Rural Social Work","1989","1",8,15,53.3333333333333,2
"Contemporary Rural Social Work","1989","2",7,15,46.6666666666667,2
"Contemporary Rural Social Work","1990","1",7,16,43.75,2
"Contemporary Rural Social Work","1990","2",9,16,56.25,2
"Contemporary Rural Social Work","1991","1",6,9,66.6666666666667,2
"Contemporary Rural Social Work","1991","2",3,9,33.3333333333333,2
"Contemporary Rural Social Work","1992","1",7,13,53.8461538461538,2
"Contemporary Rural Social Work","1992","2",6,13,46.1538461538462,2
"Contemporary Rural Social Work","1993","1",11,16,68.75,2
"Contemporary Rural Social Work","1993","2",5,16,31.25,2
"Contemporary Rural Social Work","1994","1",3,7,42.8571428571429,2
"Contemporary Rural Social Work","1994","2",4,7,57.1428571428571,2
"Contemporary Rural Social Work","1995","1",3,6,50,3
"Contemporary Rural Social Work","1995","2",2,6,33.3333333333333,3
"Contemporary Rural Social Work","1995","4+",1,6,16.6666666666667,3
"Contemporary Rural Social Work","1996","1",3,9,33.3333333333333,4
"Contemporary Rural Social Work","1996","2",3,9,33.3333333333333,4
"Contemporary Rural Social Work","1996","3",2,9,22.2222222222222,4
"Contemporary Rural Social Work","1996","4+",1,9,11.1111111111111,4
"Contemporary Rural Social Work","2010","1",3,8,37.5,4
"Contemporary Rural Social Work","2010","2",2,8,25,4
"Contemporary Rural Social Work","2010","3",1,8,12.5,4
"Contemporary Rural Social Work","2010","4+",2,8,25,4
"Contemporary Rural Social Work","2011","1",3,7,42.8571428571429,3
"Contemporary Rural Social Work","2011","2",2,7,28.5714285714286,3
"Contemporary Rural Social Work","2011","3",2,7,28.5714285714286,3
"Contemporary Rural Social Work","2012","1",1,5,20,4
"Contemporary Rural Social Work","2012","2",2,5,40,4
"Contemporary Rural Social Work","2012","3",1,5,20,4
"Contemporary Rural Social Work","2012","4+",1,5,20,4
"Contemporary Rural Social Work","2013","1",2,7,28.5714285714286,4
"Contemporary Rural Social Work","2013","2",2,7,28.5714285714286,4
"Contemporary Rural Social Work","2013","3",2,7,28.5714285714286,4
"Contemporary Rural Social Work","2013","4+",1,7,14.2857142857143,4
"Ethics & Social Welfare","2009","1",12,20,60,3
"Ethics & Social Welfare","2009","2",7,20,35,3
"Ethics & Social Welfare","2009","4+",1,20,5,3
"Ethics & Social Welfare","2010","1",7,12,58.3333333333333,3
"Ethics & Social Welfare","2010","2",4,12,33.3333333333333,3
"Ethics & Social Welfare","2010","4+",1,12,8.33333333333333,3
"Ethics & Social Welfare","2011","1",20,25,80,3
"Ethics & Social Welfare","2011","2",4,25,16,3
"Ethics & Social Welfare","2011","3",1,25,4,3
"Ethics & Social Welfare","2012","1",23,30,76.6666666666667,3
"Ethics & Social Welfare","2012","2",5,30,16.6666666666667,3
"Ethics & Social Welfare","2012","3",2,30,6.66666666666667,3
"Ethics & Social Welfare","2013","1",10,27,37.037037037037,4
"Ethics & Social Welfare","2013","2",13,27,48.1481481481481,4
"Ethics & Social Welfare","2013","3",3,27,11.1111111111111,4
"Ethics & Social Welfare","2013","4+",1,27,3.7037037037037,4
"European Journal of Social Work","2000","1",1,7,14.2857142857143,3
"European Journal of Social Work","2000","2",4,7,57.1428571428571,3
"European Journal of Social Work","2000","3",2,7,28.5714285714286,3
"European Journal of Social Work","2001","2",4,5,80,2
"European Journal of Social Work","2001","3",1,5,20,2
"European Journal of Social Work","2002","1",16,18,88.8888888888889,2
"European Journal of Social Work","2002","2",2,18,11.1111111111111,2
"European Journal of Social Work","2003","1",8,20,40,3
"European Journal of Social Work","2003","2",7,20,35,3
"European Journal of Social Work","2003","3",5,20,25,3
"European Journal of Social Work","2004","1",10,18,55.5555555555556,3
"European Journal of Social Work","2004","2",6,18,33.3333333333333,3
"European Journal of Social Work","2004","3",2,18,11.1111111111111,3
"European Journal of Social Work","2005","1",19,29,65.5172413793103,2
"European Journal of Social Work","2005","2",10,29,34.4827586206897,2
"European Journal of Social Work","2006","1",13,28,46.4285714285714,3
"European Journal of Social Work","2006","2",10,28,35.7142857142857,3
"European Journal of Social Work","2006","3",5,28,17.8571428571429,3
"European Journal of Social Work","2007","1",15,34,44.1176470588235,4
"European Journal of Social Work","2007","2",16,34,47.0588235294118,4
"European Journal of Social Work","2007","3",2,34,5.88235294117647,4
"European Journal of Social Work","2007","4+",1,34,2.94117647058824,4
"European Journal of Social Work","2008","1",15,31,48.3870967741936,4
"European Journal of Social Work","2008","2",9,31,29.0322580645161,4
"European Journal of Social Work","2008","3",5,31,16.1290322580645,4
"European Journal of Social Work","2008","4+",2,31,6.45161290322581,4
"European Journal of Social Work","2009","1",14,27,51.8518518518518,4
"European Journal of Social Work","2009","2",10,27,37.037037037037,4
"European Journal of Social Work","2009","3",2,27,7.40740740740741,4
"European Journal of Social Work","2009","4+",1,27,3.7037037037037,4
"European Journal of Social Work","2010","1",19,46,41.304347826087,4
"European Journal of Social Work","2010","2",16,46,34.7826086956522,4
"European Journal of Social Work","2010","3",7,46,15.2173913043478,4
"European Journal of Social Work","2010","4+",4,46,8.69565217391304,4
"European Journal of Social Work","2011","1",22,46,47.8260869565217,4
"European Journal of Social Work","2011","2",16,46,34.7826086956522,4
"European Journal of Social Work","2011","3",3,46,6.52173913043478,4
"European Journal of Social Work","2011","4+",5,46,10.8695652173913,4
"European Journal of Social Work","2012","1",27,73,36.986301369863,4
"European Journal of Social Work","2012","2",22,73,30.1369863013699,4
"European Journal of Social Work","2012","3",15,73,20.5479452054795,4
"European Journal of Social Work","2012","4+",9,73,12.3287671232877,4
"European Journal of Social Work","2013","1",22,69,31.8840579710145,4
"European Journal of Social Work","2013","2",19,69,27.536231884058,4
"European Journal of Social Work","2013","3",19,69,27.536231884058,4
"European Journal of Social Work","2013","4+",9,69,13.0434782608696,4
"Families in Society","1989","1",39,76,51.3157894736842,4
"Families in Society","1989","2",22,76,28.9473684210526,4
"Families in Society","1989","3",9,76,11.8421052631579,4
"Families in Society","1989","4+",6,76,7.89473684210526,4
"Families in Society","1990","1",42,71,59.1549295774648,4
"Families in Society","1990","2",16,71,22.5352112676056,4
"Families in Society","1990","3",7,71,9.85915492957746,4
"Families in Society","1990","4+",6,71,8.45070422535211,4
"Families in Society","1991","1",37,66,56.0606060606061,4
"Families in Society","1991","2",21,66,31.8181818181818,4
"Families in Society","1991","3",5,66,7.57575757575758,4
"Families in Society","1991","4+",3,66,4.54545454545455,4
"Families in Society","1992","1",28,62,45.1612903225806,4
"Families in Society","1992","2",25,62,40.3225806451613,4
"Families in Society","1992","3",6,62,9.67741935483871,4
"Families in Society","1992","4+",3,62,4.83870967741935,4
"Families in Society","1993","1",32,60,53.3333333333333,4
"Families in Society","1993","2",19,60,31.6666666666667,4
"Families in Society","1993","3",8,60,13.3333333333333,4
"Families in Society","1993","4+",1,60,1.66666666666667,4
"Families in Society","1994","1",42,63,66.6666666666667,4
"Families in Society","1994","2",12,63,19.047619047619,4
"Families in Society","1994","3",7,63,11.1111111111111,4
"Families in Society","1994","4+",2,63,3.17460317460317,4
"Families in Society","1995","1",34,60,56.6666666666667,3
"Families in Society","1995","2",16,60,26.6666666666667,3
"Families in Society","1995","3",10,60,16.6666666666667,3
"Families in Society","1996","1",33,58,56.8965517241379,4
"Families in Society","1996","2",16,58,27.5862068965517,4
"Families in Society","1996","3",5,58,8.62068965517241,4
"Families in Society","1996","4+",4,58,6.89655172413793,4
"Families in Society","1997","1",27,60,45,4
"Families in Society","1997","2",20,60,33.3333333333333,4
"Families in Society","1997","3",10,60,16.6666666666667,4
"Families in Society","1997","4+",3,60,5,4
"Families in Society","1998","1",28,60,46.6666666666667,4
"Families in Society","1998","2",19,60,31.6666666666667,4
"Families in Society","1998","3",8,60,13.3333333333333,4
"Families in Society","1998","4+",5,60,8.33333333333333,4
"Families in Society","1999","1",53,74,71.6216216216216,4
"Families in Society","1999","2",12,74,16.2162162162162,4
"Families in Society","1999","3",6,74,8.10810810810811,4
"Families in Society","1999","4+",3,74,4.05405405405405,4
"Families in Society","2000","1",37,65,56.9230769230769,4
"Families in Society","2000","2",17,65,26.1538461538462,4
"Families in Society","2000","3",8,65,12.3076923076923,4
"Families in Society","2000","4+",3,65,4.61538461538462,4
"Families in Society","2001","1",40,62,64.5161290322581,4
"Families in Society","2001","2",13,62,20.9677419354839,4
"Families in Society","2001","3",8,62,12.9032258064516,4
"Families in Society","2001","4+",1,62,1.61290322580645,4
"Families in Society","2002","1",24,58,41.3793103448276,4
"Families in Society","2002","2",21,58,36.2068965517241,4
"Families in Society","2002","3",12,58,20.6896551724138,4
"Families in Society","2002","4+",1,58,1.72413793103448,4
"Families in Society","2003","1",34,65,52.3076923076923,4
"Families in Society","2003","2",14,65,21.5384615384615,4
"Families in Society","2003","3",10,65,15.3846153846154,4
"Families in Society","2003","4+",7,65,10.7692307692308,4
"Families in Society","2004","1",30,63,47.6190476190476,4
"Families in Society","2004","2",13,63,20.6349206349206,4
"Families in Society","2004","3",15,63,23.8095238095238,4
"Families in Society","2004","4+",5,63,7.93650793650794,4
"Families in Society","2005","1",26,72,36.1111111111111,4
"Families in Society","2005","2",27,72,37.5,4
"Families in Society","2005","3",11,72,15.2777777777778,4
"Families in Society","2005","4+",8,72,11.1111111111111,4
"Families in Society","2006","1",26,66,39.3939393939394,4
"Families in Society","2006","2",18,66,27.2727272727273,4
"Families in Society","2006","3",9,66,13.6363636363636,4
"Families in Society","2006","4+",13,66,19.6969696969697,4
"Families in Society","2007","1",34,72,47.2222222222222,4
"Families in Society","2007","2",22,72,30.5555555555556,4
"Families in Society","2007","3",5,72,6.94444444444444,4
"Families in Society","2007","4+",11,72,15.2777777777778,4
"Families in Society","2008","1",25,63,39.6825396825397,4
"Families in Society","2008","2",24,63,38.0952380952381,4
"Families in Society","2008","3",4,63,6.34920634920635,4
"Families in Society","2008","4+",10,63,15.8730158730159,4
"Families in Society","2009","1",19,62,30.6451612903226,4
"Families in Society","2009","2",16,62,25.8064516129032,4
"Families in Society","2009","3",16,62,25.8064516129032,4
"Families in Society","2009","4+",11,62,17.741935483871,4
"Families in Society","2010","1",19,60,31.6666666666667,4
"Families in Society","2010","2",18,60,30,4
"Families in Society","2010","3",15,60,25,4
"Families in Society","2010","4+",8,60,13.3333333333333,4
"Families in Society","2011","1",20,64,31.25,4
"Families in Society","2011","2",22,64,34.375,4
"Families in Society","2011","3",13,64,20.3125,4
"Families in Society","2011","4+",9,64,14.0625,4
"Families in Society","2012","1",15,40,37.5,4
"Families in Society","2012","2",16,40,40,4
"Families in Society","2012","3",5,40,12.5,4
"Families in Society","2012","4+",4,40,10,4
"Families in Society","2013","1",7,36,19.4444444444444,4
"Families in Society","2013","2",13,36,36.1111111111111,4
"Families in Society","2013","3",8,36,22.2222222222222,4
"Families in Society","2013","4+",8,36,22.2222222222222,4
"Health & Social Work","1989","1",13,31,41.9354838709677,4
"Health & Social Work","1989","2",9,31,29.0322580645161,4
"Health & Social Work","1989","3",4,31,12.9032258064516,4
"Health & Social Work","1989","4+",5,31,16.1290322580645,4
"Health & Social Work","1990","1",15,34,44.1176470588235,4
"Health & Social Work","1990","2",10,34,29.4117647058824,4
"Health & Social Work","1990","3",6,34,17.6470588235294,4
"Health & Social Work","1990","4+",3,34,8.82352941176471,4
"Health & Social Work","1991","1",13,31,41.9354838709677,4
"Health & Social Work","1991","2",12,31,38.7096774193548,4
"Health & Social Work","1991","3",5,31,16.1290322580645,4
"Health & Social Work","1991","4+",1,31,3.2258064516129,4
"Health & Social Work","1992","1",20,36,55.5555555555556,4
"Health & Social Work","1992","2",8,36,22.2222222222222,4
"Health & Social Work","1992","3",4,36,11.1111111111111,4
"Health & Social Work","1992","4+",4,36,11.1111111111111,4
"Health & Social Work","1993","1",18,38,47.3684210526316,4
"Health & Social Work","1993","2",8,38,21.0526315789474,4
"Health & Social Work","1993","3",6,38,15.7894736842105,4
"Health & Social Work","1993","4+",6,38,15.7894736842105,4
"Health & Social Work","1994","1",16,41,39.0243902439024,4
"Health & Social Work","1994","2",9,41,21.9512195121951,4
"Health & Social Work","1994","3",12,41,29.2682926829268,4
"Health & Social Work","1994","4+",4,41,9.75609756097561,4
"Health & Social Work","1995","1",29,49,59.1836734693878,4
"Health & Social Work","1995","2",12,49,24.4897959183673,4
"Health & Social Work","1995","3",6,49,12.2448979591837,4
"Health & Social Work","1995","4+",2,49,4.08163265306122,4
"Health & Social Work","1996","1",23,39,58.974358974359,4
"Health & Social Work","1996","2",5,39,12.8205128205128,4
"Health & Social Work","1996","3",3,39,7.69230769230769,4
"Health & Social Work","1996","4+",8,39,20.5128205128205,4
"Health & Social Work","1997","1",14,37,37.8378378378378,4
"Health & Social Work","1997","2",12,37,32.4324324324324,4
"Health & Social Work","1997","3",4,37,10.8108108108108,4
"Health & Social Work","1997","4+",7,37,18.9189189189189,4
"Health & Social Work","1998","1",11,38,28.9473684210526,4
"Health & Social Work","1998","2",13,38,34.2105263157895,4
"Health & Social Work","1998","3",9,38,23.6842105263158,4
"Health & Social Work","1998","4+",5,38,13.1578947368421,4
"Health & Social Work","1999","1",17,40,42.5,4
"Health & Social Work","1999","2",14,40,35,4
"Health & Social Work","1999","3",5,40,12.5,4
"Health & Social Work","1999","4+",4,40,10,4
"Health & Social Work","2000","1",15,32,46.875,4
"Health & Social Work","2000","2",9,32,28.125,4
"Health & Social Work","2000","3",5,32,15.625,4
"Health & Social Work","2000","4+",3,32,9.375,4
"Health & Social Work","2001","1",17,38,44.7368421052632,4
"Health & Social Work","2001","2",12,38,31.5789473684211,4
"Health & Social Work","2001","3",7,38,18.4210526315789,4
"Health & Social Work","2001","4+",2,38,5.26315789473684,4
"Health & Social Work","2002","1",21,41,51.219512195122,4
"Health & Social Work","2002","2",10,41,24.390243902439,4
"Health & Social Work","2002","3",7,41,17.0731707317073,4
"Health & Social Work","2002","4+",3,41,7.31707317073171,4
"Health & Social Work","2003","1",13,40,32.5,4
"Health & Social Work","2003","2",12,40,30,4
"Health & Social Work","2003","3",8,40,20,4
"Health & Social Work","2003","4+",7,40,17.5,4
"Health & Social Work","2004","1",16,40,40,3
"Health & Social Work","2004","2",16,40,40,3
"Health & Social Work","2004","3",8,40,20,3
"Health & Social Work","2005","1",15,42,35.7142857142857,4
"Health & Social Work","2005","2",12,42,28.5714285714286,4
"Health & Social Work","2005","3",11,42,26.1904761904762,4
"Health & Social Work","2005","4+",4,42,9.52380952380952,4
"Health & Social Work","2006","1",15,41,36.5853658536585,4
"Health & Social Work","2006","2",15,41,36.5853658536585,4
"Health & Social Work","2006","3",7,41,17.0731707317073,4
"Health & Social Work","2006","4+",4,41,9.75609756097561,4
"Health & Social Work","2007","1",13,40,32.5,4
"Health & Social Work","2007","2",16,40,40,4
"Health & Social Work","2007","3",3,40,7.5,4
"Health & Social Work","2007","4+",8,40,20,4
"Health & Social Work","2008","1",5,36,13.8888888888889,4
"Health & Social Work","2008","2",14,36,38.8888888888889,4
"Health & Social Work","2008","3",9,36,25,4
"Health & Social Work","2008","4+",8,36,22.2222222222222,4
"Health & Social Work","2009","1",11,34,32.3529411764706,4
"Health & Social Work","2009","2",11,34,32.3529411764706,4
"Health & Social Work","2009","3",8,34,23.5294117647059,4
"Health & Social Work","2009","4+",4,34,11.7647058823529,4
"Health & Social Work","2010","1",11,32,34.375,4
"Health & Social Work","2010","2",7,32,21.875,4
"Health & Social Work","2010","3",10,32,31.25,4
"Health & Social Work","2010","4+",4,32,12.5,4
"Health & Social Work","2011","1",10,31,32.258064516129,4
"Health & Social Work","2011","2",9,31,29.0322580645161,4
"Health & Social Work","2011","3",6,31,19.3548387096774,4
"Health & Social Work","2011","4+",6,31,19.3548387096774,4
"Health & Social Work","2012","1",7,24,29.1666666666667,4
"Health & Social Work","2012","2",3,24,12.5,4
"Health & Social Work","2012","3",6,24,25,4
"Health & Social Work","2012","4+",8,24,33.3333333333333,4
"Health & Social Work","2013","1",2,22,9.09090909090909,4
"Health & Social Work","2013","2",7,22,31.8181818181818,4
"Health & Social Work","2013","3",6,22,27.2727272727273,4
"Health & Social Work","2013","4+",7,22,31.8181818181818,4
"Indian Journal of Social Work","1989","1",27,30,90,2
"Indian Journal of Social Work","1989","2",3,30,10,2
"Indian Journal of Social Work","1990","1",17,19,89.4736842105263,3
"Indian Journal of Social Work","1990","2",1,19,5.26315789473684,3
"Indian Journal of Social Work","1990","3",1,19,5.26315789473684,3
"Indian Journal of Social Work","1991","1",31,41,75.609756097561,4
"Indian Journal of Social Work","1991","2",7,41,17.0731707317073,4
"Indian Journal of Social Work","1991","3",1,41,2.4390243902439,4
"Indian Journal of Social Work","1991","4+",2,41,4.8780487804878,4
"Indian Journal of Social Work","1992","1",18,28,64.2857142857143,4
"Indian Journal of Social Work","1992","2",7,28,25,4
"Indian Journal of Social Work","1992","3",2,28,7.14285714285714,4
"Indian Journal of Social Work","1992","4+",1,28,3.57142857142857,4
"Indian Journal of Social Work","1993","1",18,23,78.2608695652174,3
"Indian Journal of Social Work","1993","2",3,23,13.0434782608696,3
"Indian Journal of Social Work","1993","3",2,23,8.69565217391304,3
"Indian Journal of Social Work","1994","1",24,30,80,3
"Indian Journal of Social Work","1994","2",5,30,16.6666666666667,3
"Indian Journal of Social Work","1994","3",1,30,3.33333333333333,3
"Indian Journal of Social Work","1995","1",5,8,62.5,2
"Indian Journal of Social Work","1995","2",3,8,37.5,2
"Indian Journal of Social Work","1996","1",19,28,67.8571428571429,3
"Indian Journal of Social Work","1996","2",3,28,10.7142857142857,3
"Indian Journal of Social Work","1996","3",6,28,21.4285714285714,3
"Indian Journal of Social Work","1997","1",25,33,75.7575757575758,3
"Indian Journal of Social Work","1997","2",7,33,21.2121212121212,3
"Indian Journal of Social Work","1997","3",1,33,3.03030303030303,3
"Indian Journal of Social Work","1998","1",27,31,87.0967741935484,2
"Indian Journal of Social Work","1998","2",4,31,12.9032258064516,2
"Indian Journal of Social Work","1999","1",18,25,72,4
"Indian Journal of Social Work","1999","2",4,25,16,4
"Indian Journal of Social Work","1999","3",1,25,4,4
"Indian Journal of Social Work","1999","4+",2,25,8,4
"Indian Journal of Social Work","2000","1",25,41,60.9756097560976,4
"Indian Journal of Social Work","2000","2",11,41,26.8292682926829,4
"Indian Journal of Social Work","2000","3",2,41,4.8780487804878,4
"Indian Journal of Social Work","2000","4+",3,41,7.31707317073171,4
"Indian Journal of Social Work","2001","1",21,34,61.7647058823529,3
"Indian Journal of Social Work","2001","2",7,34,20.5882352941176,3
"Indian Journal of Social Work","2001","3",6,34,17.6470588235294,3
"Indian Journal of Social Work","2002","1",18,32,56.25,4
"Indian Journal of Social Work","2002","2",12,32,37.5,4
"Indian Journal of Social Work","2002","3",1,32,3.125,4
"Indian Journal of Social Work","2002","4+",1,32,3.125,4
"Indian Journal of Social Work","2003","1",21,31,67.741935483871,4
"Indian Journal of Social Work","2003","2",5,31,16.1290322580645,4
"Indian Journal of Social Work","2003","3",3,31,9.67741935483871,4
"Indian Journal of Social Work","2003","4+",2,31,6.45161290322581,4
"Indian Journal of Social Work","2004","1",23,35,65.7142857142857,4
"Indian Journal of Social Work","2004","2",8,35,22.8571428571429,4
"Indian Journal of Social Work","2004","3",2,35,5.71428571428571,4
"Indian Journal of Social Work","2004","4+",2,35,5.71428571428571,4
"Indian Journal of Social Work","2005","1",17,31,54.8387096774194,4
"Indian Journal of Social Work","2005","2",8,31,25.8064516129032,4
"Indian Journal of Social Work","2005","3",4,31,12.9032258064516,4
"Indian Journal of Social Work","2005","4+",2,31,6.45161290322581,4
"Indian Journal of Social Work","2006","1",22,29,75.8620689655172,3
"Indian Journal of Social Work","2006","2",6,29,20.6896551724138,3
"Indian Journal of Social Work","2006","3",1,29,3.44827586206897,3
"Indian Journal of Social Work","2007","1",21,34,61.7647058823529,4
"Indian Journal of Social Work","2007","2",7,34,20.5882352941176,4
"Indian Journal of Social Work","2007","3",2,34,5.88235294117647,4
"Indian Journal of Social Work","2007","4+",4,34,11.7647058823529,4
"Indian Journal of Social Work","2008","1",21,33,63.6363636363636,3
"Indian Journal of Social Work","2008","2",10,33,30.3030303030303,3
"Indian Journal of Social Work","2008","3",2,33,6.06060606060606,3
"Indian Journal of Social Work","2009","1",22,33,66.6666666666667,4
"Indian Journal of Social Work","2009","2",5,33,15.1515151515152,4
"Indian Journal of Social Work","2009","3",4,33,12.1212121212121,4
"Indian Journal of Social Work","2009","4+",2,33,6.06060606060606,4
"Indian Journal of Social Work","2010","1",21,33,63.6363636363636,4
"Indian Journal of Social Work","2010","2",6,33,18.1818181818182,4
"Indian Journal of Social Work","2010","3",3,33,9.09090909090909,4
"Indian Journal of Social Work","2010","4+",3,33,9.09090909090909,4
"Indian Journal of Social Work","2011","1",20,34,58.8235294117647,4
"Indian Journal of Social Work","2011","2",10,34,29.4117647058824,4
"Indian Journal of Social Work","2011","3",3,34,8.82352941176471,4
"Indian Journal of Social Work","2011","4+",1,34,2.94117647058824,4
"Indian Journal of Social Work","2012","1",13,32,40.625,4
"Indian Journal of Social Work","2012","2",8,32,25,4
"Indian Journal of Social Work","2012","3",6,32,18.75,4
"Indian Journal of Social Work","2012","4+",5,32,15.625,4
"Indian Journal of Social Work","2013","1",14,32,43.75,4
"Indian Journal of Social Work","2013","2",14,32,43.75,4
"Indian Journal of Social Work","2013","3",1,32,3.125,4
"Indian Journal of Social Work","2013","4+",3,32,9.375,4
"International Journal of Social Welfare","1999","1",19,27,70.3703703703704,3
"International Journal of Social Welfare","1999","2",7,27,25.9259259259259,3
"International Journal of Social Welfare","1999","3",1,27,3.7037037037037,3
"International Journal of Social Welfare","2000","4+",1,1,100,1
"International Journal of Social Welfare","2001","2",2,7,28.5714285714286,3
"International Journal of Social Welfare","2001","3",2,7,28.5714285714286,3
"International Journal of Social Welfare","2001","4+",3,7,42.8571428571429,3
"International Journal of Social Welfare","2002","1",9,17,52.9411764705882,4
"International Journal of Social Welfare","2002","2",4,17,23.5294117647059,4
"International Journal of Social Welfare","2002","3",1,17,5.88235294117647,4
"International Journal of Social Welfare","2002","4+",3,17,17.6470588235294,4
"International Journal of Social Welfare","2003","1",5,15,33.3333333333333,3
"International Journal of Social Welfare","2003","2",8,15,53.3333333333333,3
"International Journal of Social Welfare","2003","3",2,15,13.3333333333333,3
"International Journal of Social Welfare","2004","1",8,24,33.3333333333333,4
"International Journal of Social Welfare","2004","2",10,24,41.6666666666667,4
"International Journal of Social Welfare","2004","3",2,24,8.33333333333333,4
"International Journal of Social Welfare","2004","4+",4,24,16.6666666666667,4
"International Journal of Social Welfare","2005","1",15,31,48.3870967741936,4
"International Journal of Social Welfare","2005","2",9,31,29.0322580645161,4
"International Journal of Social Welfare","2005","3",6,31,19.3548387096774,4
"International Journal of Social Welfare","2005","4+",1,31,3.2258064516129,4
"International Journal of Social Welfare","2006","1",8,21,38.0952380952381,4
"International Journal of Social Welfare","2006","2",9,21,42.8571428571429,4
"International Journal of Social Welfare","2006","3",2,21,9.52380952380952,4
"International Journal of Social Welfare","2006","4+",2,21,9.52380952380952,4
"International Journal of Social Welfare","2007","1",18,43,41.8604651162791,4
"International Journal of Social Welfare","2007","2",11,43,25.5813953488372,4
"International Journal of Social Welfare","2007","3",9,43,20.9302325581395,4
"International Journal of Social Welfare","2007","4+",5,43,11.6279069767442,4
"International Journal of Social Welfare","2008","1",12,31,38.7096774193548,4
"International Journal of Social Welfare","2008","2",10,31,32.258064516129,4
"International Journal of Social Welfare","2008","3",5,31,16.1290322580645,4
"International Journal of Social Welfare","2008","4+",4,31,12.9032258064516,4
"International Journal of Social Welfare","2009","1",21,41,51.219512195122,4
"International Journal of Social Welfare","2009","2",15,41,36.5853658536585,4
"International Journal of Social Welfare","2009","3",4,41,9.75609756097561,4
"International Journal of Social Welfare","2009","4+",1,41,2.4390243902439,4
"International Journal of Social Welfare","2010","1",15,36,41.6666666666667,4
"International Journal of Social Welfare","2010","2",11,36,30.5555555555556,4
"International Journal of Social Welfare","2010","3",5,36,13.8888888888889,4
"International Journal of Social Welfare","2010","4+",5,36,13.8888888888889,4
"International Journal of Social Welfare","2011","1",10,41,24.390243902439,4
"International Journal of Social Welfare","2011","2",14,41,34.1463414634146,4
"International Journal of Social Welfare","2011","3",11,41,26.8292682926829,4
"International Journal of Social Welfare","2011","4+",6,41,14.6341463414634,4
"International Journal of Social Welfare","2012","1",19,43,44.1860465116279,4
"International Journal of Social Welfare","2012","2",15,43,34.8837209302326,4
"International Journal of Social Welfare","2012","3",6,43,13.953488372093,4
"International Journal of Social Welfare","2012","4+",3,43,6.97674418604651,4
"International Journal of Social Welfare","2013","1",11,33,33.3333333333333,4
"International Journal of Social Welfare","2013","2",10,33,30.3030303030303,4
"International Journal of Social Welfare","2013","3",8,33,24.2424242424242,4
"International Journal of Social Welfare","2013","4+",4,33,12.1212121212121,4
"International Social Work","1989","1",16,22,72.7272727272727,3
"International Social Work","1989","2",5,22,22.7272727272727,3
"International Social Work","1989","3",1,22,4.54545454545455,3
"International Social Work","1990","1",13,20,65,2
"International Social Work","1990","2",7,20,35,2
"International Social Work","1991","1",19,24,79.1666666666667,2
"International Social Work","1991","2",5,24,20.8333333333333,2
"International Social Work","1992","1",14,18,77.7777777777778,3
"International Social Work","1992","2",3,18,16.6666666666667,3
"International Social Work","1992","3",1,18,5.55555555555556,3
"International Social Work","1993","1",12,24,50,3
"International Social Work","1993","2",9,24,37.5,3
"International Social Work","1993","3",3,24,12.5,3
"International Social Work","1994","1",14,24,58.3333333333333,3
"International Social Work","1994","2",8,24,33.3333333333333,3
"International Social Work","1994","3",2,24,8.33333333333333,3
"International Social Work","1995","1",17,26,65.3846153846154,4
"International Social Work","1995","2",6,26,23.0769230769231,4
"International Social Work","1995","3",2,26,7.69230769230769,4
"International Social Work","1995","4+",1,26,3.84615384615385,4
"International Social Work","1996","1",24,32,75,2
"International Social Work","1996","2",8,32,25,2
"International Social Work","1997","1",15,29,51.7241379310345,4
"International Social Work","1997","2",9,29,31.0344827586207,4
"International Social Work","1997","3",2,29,6.89655172413793,4
"International Social Work","1997","4+",3,29,10.3448275862069,4
"International Social Work","1998","1",21,33,63.6363636363636,3
"International Social Work","1998","2",11,33,33.3333333333333,3
"International Social Work","1998","3",1,33,3.03030303030303,3
"International Social Work","1999","1",20,34,58.8235294117647,4
