"","Title","Authors","Corporate.Authors","Editors","Book.Editors","Source.Title","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Beginning.Page","Ending.Page","Article.Number","DOI","Conference.Title","Conference.Date","Total.Citations","Average.per.Year","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X","X.1"
"994","'My work is exciting' - social workers in Estonia compared to Norway","Groenningsaeter, Arne Backer; Kiik, Riina","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","25","39","","10.1080/13691450802220941","","",1,0.14,0,0,0,0,0,1,0,0,0,0,0,NA
"995","Managerial audit and community mental health: a study of rationalising practices in Finnish psychiatric outpatient clinics","Saario, Sirpa; Stepney, Paul","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","41","56","","10.1080/13691450802221030","","",5,0.71,0,0,0,0,0,0,2,1,0,2,0,NA
"996","The barriers to the effectiveness of culturally sensitive practices in health and social care services for Chinese people in Britain","Yu, Sam Wai Kam","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","57","70","","10.1080/13691450802220982","","",1,0.14,0,0,0,0,0,0,0,0,0,1,0,NA
"997","Supervision reviewed: reflections on two different social work models in England and Sweden","Bradley, Greta; Hojer, Staffan","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","71","85","","10.1080/13691450802220990","","",10,1.43,0,0,0,0,0,1,1,3,2,0,3,NA
"998","Child sexual abuse and Aboriginal communities in Australia: a case study of non-inclusive government intervention","Fawcett, Barbara; Hanlon, Maurice","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","87","100","","10.1080/13691450802221048","","",1,0.14,0,0,0,0,0,0,0,0,0,0,1,NA
"999","Reactions of students to different settings of field experience","Sarid, O.; Anson, J.; Cohen, M.","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","101","111","","10.1080/13691450802221022","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1000","The development of social work education in Spain","Gomez Gomez, Francisco; Herrador Buendia, Felix","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"1",NA,"","","113","117","","10.1080/13691450902759905","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1001","Applying health determinants and dimensions in social work practice","Heinonen, Tuula; Metteri, Anna; Leach, Jennifer","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","139","153","","10.1080/13691450802567424","","",1,0.14,0,0,0,0,0,0,0,0,1,0,0,NA
"1002","Beyond talking - children's participation in Norwegian care and protection cases","Vis, Svein Arild; Thomas, Nigel","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","155","168","","10.1080/13691450802567465","","",14,2,0,0,0,0,0,0,3,2,3,2,4,NA
"1003","Changing social responsibilities: the role of advocacy organisations in the construction of the Social Support Act in the Netherlands","Potting, Marianne","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","169","183","","10.1080/13691450802567457","","",4,0.57,0,0,0,0,0,0,1,1,1,0,1,NA
"1004","Service users and carers' involvement in social work education: lessons from an English case study","Anghel, Roxana; Ramon, Shula","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","185","199","","10.1080/13691450802567416","","",9,1.29,0,0,0,0,0,0,0,2,1,4,2,NA
"1005","Social work with vulnerable families and children in 11 Russian regions","Trygged, Sven","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","201","220","","10.1080/13691450802567481","","",2,0.29,0,0,0,0,0,0,0,0,0,2,0,NA
"1006","Evidence-based practice: a critical reflection","Petr, Christopher G.; Walter, Uta M.","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","221","232","","10.1080/13691450802567523","","",4,0.57,0,0,0,0,0,0,1,0,0,2,1,NA
"1007","Keeping the family balance - adult daughters' experiences of roles and strategies when supporting caring fathers","Sandberg, Jonas; Eriksson, Henrik; Holmgren, Jessica; Pringle, Keith","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","233","245","","10.1080/13691450802567499","","",2,0.29,0,0,0,0,0,0,0,0,2,0,0,NA
"1008","The right to stay: challenging the policy of detention and deportation","Zorn, Jelka","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"2",NA,"","","247","260","","10.1080/13691450902840572","","",2,0.29,0,0,0,0,0,0,1,0,0,0,0,NA
"1009","The concept of critical reflection: promises and contradictions","Brookfield, Stephen","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","293","304","","10.1080/13691450902945215","","",17,2.43,0,0,0,0,0,1,3,2,2,7,2,NA
"1010","Critical reflexivity, social work, and the emerging European post-welfare states","Kessl, Fabian","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","305","317","","10.1080/13691450902930746","","",7,1,0,0,0,0,0,1,0,0,3,3,0,NA
"1011","The concept of subjectivisation by Adorno - applied in social work","Matthies, Aila-Leena","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","319","332","","10.1080/13691450903090763","","",1,0.14,0,0,0,0,0,0,0,1,0,0,0,NA
"1012","Promises and pressures of critical reflection for social work coping in change","Karvinen-Niinikoski, Synnove","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","333","348","","10.1080/13691450903090771","","",2,0.29,0,0,0,0,0,0,2,0,0,0,0,NA
"1013","Identifying 'the critical' in a relationship-based model of reflection","Ruch, Gillian","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","349","362","","10.1080/13691450902930761","","",5,0.71,0,0,0,0,0,1,0,1,0,2,1,NA
"1014","Online critical reflection in social work education","Oterholm, Inger","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","363","375","","10.1080/13691450902930738","","",3,0.43,0,0,0,0,0,0,0,1,1,0,1,NA
"1015","By the light of the Tao","Humphrey, Caroline","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"3",NA,"","","377","390","","10.1080/13691450902930779","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1016","Recognition and judgement in social work","Juul, Soren","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","403","417","","10.1080/13691450902981418","","",4,0.57,0,0,0,0,0,0,1,1,1,1,0,NA
"1017","Health care, social care or both? A qualitative explorative study of different focuses in long-term care of older people in France, Portugal and Sweden","Emilsson, Ulla Melin","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","419","434","","10.1080/13691450902981467","","",3,0.43,0,0,0,0,0,0,0,0,1,1,1,NA
"1018","Insights into proceeds from social investments: beyond numbers fetishism and relativism","Rouw, Marinus A.; Verhagen, Stijn M.","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","435","446","","10.1080/13691450902840614","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1019","Factors affecting job satisfaction of Turkish special education professionals: predictors of turnover","Ari, Meziyet; Sipal, R. Firat","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","447","463","","10.1080/13691450902840648","2nd International Conference on Special Education","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1020","Kinship foster parenting; gender, class and labour-force participation","Holtan, Amy; Thornblad, Renee","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","465","478","","10.1080/13691450902840655","","",1,0.14,0,0,0,0,0,0,0,0,0,1,0,NA
"1021","The social worker as intellectual","Singh, Gurnam; Cowden, Stephen","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","479","493","","10.1080/13691450902840689","","",6,0.86,0,0,0,0,0,0,1,1,2,1,1,NA
"1022","Case management for people with psychiatric disabilities in rural Sweden; experiences from the implementation of a national policy","Markstrom, Urban; Lindqvist, Rafael; Sandlund, Mikael","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","495","508","","10.1080/13691450902930787","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1023","The role of social work in the field of mental health: dual diagnoses as a challenge for social workers","Kvaternik, Ines; Grebenc, Vera","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","509","521","","10.1080/13691450902981426","","",3,0.43,0,0,0,0,0,0,0,1,1,0,1,NA
"1024","Marie Krakesova and her psychological educational social therapy","Klimentova, Eva","",NA,NA,"EUROPEAN JOURNAL OF SOCIAL WORK","2009",2009,12,"4",NA,"","","523","533","","10.1080/13691450902981459","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1025","Mental health professionals contact with family members of people with psychiatric disabilities","Riebschleger, J","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","9","16","","","","",1,0.09,0,0,0,1,0,0,0,0,0,0,0,NA
"1026","The mental health and service needs of young children exposed to domestic violence: Supportive data","Lundy, M; Grossman, SF","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","17","29","","","","",15,1.36,0,0,3,1,1,2,1,2,1,3,1,NA
"1027","Are barriers to service and parental preference match for service related to urban child mental health service use?","Bannon, WM; McKay, MM","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","30","34","","","","",18,1.64,0,0,0,1,0,1,2,2,3,6,3,NA
"1028","Taoistic concepts of mental health: implications for social work practice with Chinese communities","Yip, KS","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","35","45","","","","",6,0.55,0,0,0,0,3,2,0,1,0,0,0,NA
"1029","Implications of an aging population on the delivery of public sector social services","Bronstein, LR; Admiraal, K","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","47","54","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1030","Association between unmet needs for community services and caregiving strain","Li, H; Chadiha, A; Morrow-Howell, N","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","55","62","","","","",3,0.27,0,0,0,0,1,1,0,0,0,1,0,NA
"1031","Integrating Behavioral health services within a primary care center in a rural setting","Bauer, D; Batson, R; Hayden, W; Counts, MM","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","63","70","","","","",2,0.18,0,0,0,0,0,0,1,0,1,0,0,NA
"1032","Evaluation of a rural healthy families America (HFA) program: The importance of context","Whipple, EE; Nathans, LL","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","71","82","","","","",2,0.18,0,0,0,0,0,1,1,0,0,0,0,NA
"1033","Social support for changes in adoption practice: Gay adoption, open adoption, birth reunions, and the release of confidential identifying information","Miall, CE; March, K","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","83","92","","","","",1,0.09,1,0,0,0,0,0,0,0,0,0,0,NA
"1034","An intervention framework for collaboration","Claiborne, N; Lawson, HA","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","93","103","","","","",11,1,0,0,1,1,3,0,0,1,3,1,1,NA
"1035","The well-being of immigrant Latino youth: A framework to inform practice","Chapman, MV; Perreira, KM","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","104","111","","","","",10,0.91,0,0,0,0,2,1,2,3,1,1,0,NA
"1036","Correlates of change in marital relationships under stress: The case of childhood cancer","Lavee, Y","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","112","120","","","","",4,0.36,0,0,0,1,0,0,1,0,1,1,0,NA
"1037","Fatherhood and immigration: Perceptions of Israeli immigrant fathers from Ethiopia and the former Soviet Union","Strier, R; Roer-Strier, D","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","121","133","","","","",9,0.82,0,1,0,0,5,1,1,0,0,0,1,NA
"1038","Recidivism among former recipients who remain unemployed: The vicious circle created by welfare reform","Cheng, T","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","134","142","","","","",4,0.36,0,0,1,0,1,0,0,0,1,1,0,NA
"1039","The life course perspective: A promising approach for bridging the micro and macro worlds for social workers","Hutchison, ED","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JAN-MAR 2005",2005,86,"1",NA,"","","143","152","","","","",6,0.55,0,0,0,0,1,0,0,1,1,2,1,NA
"1040","Ethical and legal standards in social work: Consistency and conflict","Reamer, FG","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","163","169","","","","",2,0.18,0,0,0,0,0,0,2,0,0,0,0,NA
"1041","What's morality got to do with it? An essay on the politics of moral values in light of the presidential election of 2004","Caputo, RK","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","171","179","","","","",1,0.09,0,0,0,0,0,0,0,0,0,0,1,NA
"1042","Rethinking self-awareness in cultural competence: Toward a dialogic self in cross-cultural social work","Yan, MC; Wong, YLR","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","181","188","","","","",22,2,0,1,1,2,4,1,1,4,3,4,1,NA
"1043","Exploring the elements of culturally relevant service delivery","Kossak, SN","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","189","195","","","","",5,0.45,0,0,0,0,0,2,2,0,0,0,1,NA
"1044","An African-centered approach to domestic violence","Bent-Goodley, TB","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","197","206","","","","",9,0.82,0,1,2,1,2,1,0,0,1,1,0,NA
"1045","Assuming a stance of uncertainty: Essentials for social work with adolescents","Malekoff, A","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","207","216","","","","",2,0.18,0,0,0,0,0,1,1,0,0,0,0,NA
"1046","Experiences of adults abused as children after discharge from inpatient treatment: Informal social support and self-care practices related to trauma recovery","Harper, K; Stalker, CA; Palmer, S; Gadbois, S","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","217","225","","","","",3,0.27,0,1,0,0,0,0,0,0,1,1,0,NA
"1047","Speaking the unspeakable: Exploring the impact of family dynamics on child sexual abuse disclosures","Alaggia, R; Kirshenbaum, S","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","227","234","","","","",9,0.82,1,0,0,5,0,0,0,0,2,1,0,NA
"1048","A resilience-based model of reunification and reentry: Implications for out-of-home care services","Thomas, M; Chenot, D; Reifel, B","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","235","243","","","","",8,0.73,0,0,0,1,1,0,3,0,1,1,1,NA
"1049","Moving best practice to evidence-based practice in child welfare","Kessler, ML; Gira, E; Poertner, J","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","244","250","","","","",23,2.09,0,3,0,1,3,3,3,3,1,6,0,NA
"1050","Families and incarceration: An ecological approach","Arditti, JA","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","251","260","","","32nd Theory Construction and Research Methodology Workshop","NOV   20, 2002",31,2.82,0,1,2,1,4,6,3,6,2,3,3,NA
"1051","Addressing risk behaviors, service needs, and mental health issues in programs for young fathers","Weinman, ML; Buzi, RS; Smith, PB","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","261","266","","","","",10,0.91,0,0,0,0,2,1,2,1,3,1,0,NA
"1052","The languages of empowerment and strengths in clinical social work: A constructivist perspective","Greene, GI; Lee, MY; Hoffpauir, S","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","267","277","","","","",12,1.09,0,1,2,1,5,0,1,0,1,1,0,NA
"1053","Disaster and loss: Drug research in an urban community","Stevens, JW; Capitman, JA","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","279","286","","","","",1,0.09,0,0,1,0,0,0,0,0,0,0,0,NA
"1054","Spiritual ecograms: A new assessment instrument for identifying clients' strengths in space and across time","Hodge, DR","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","APR-JUN 2005",2005,86,"2",NA,"","","287","296","","","","",16,1.45,2,0,2,0,1,3,3,2,1,1,1,NA
"1055","Social work with the older people of tomorrow: Restoring the person-in-situation","Silverstone, B","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","309","319","","","","",1,0.09,0,0,0,0,0,0,0,1,0,0,0,NA
"1056","The new political environment in aging: Challenges to policy and practice","Hudson, RB","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","321","327","","","","",2,0.18,0,1,0,0,0,0,0,0,0,1,0,NA
"1057","Social work in health care with older adults: Future challenges","Berkman, BJ; Gardner, DS; Zodikoff, BD; Harootyan, LK","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","329","337","","","","",13,1.18,0,0,0,1,3,1,2,3,1,2,0,NA
"1058","Reducing poverty among older women: Social security reform and gender equity","Gonyea, JG; Hooyman, NR","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","338","346","","","","",5,0.45,0,0,0,0,1,2,0,0,0,1,1,NA
"1059","Cultural competency: A key to effective future social work with racially and ethnically diverse elders","Min, LW","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","347","358","","","","",4,0.36,0,0,0,2,2,0,0,0,0,0,0,NA
"1060","Gay and lesbian aging: Current perspectives and future directions for social work practice and research","Donahue, P; McDonald, L","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","359","366","","","","",5,0.45,0,0,0,0,1,0,1,1,2,0,0,NA
"1061","Social work with older adults and their families: Changing practice paradigms","Greene, RR; Cohen, HL","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","367","373","","","","",8,0.73,0,0,0,3,1,1,0,1,0,0,2,NA
"1062","Caring for others: Internet health care support intervention for family caregivers of persons with Alzheimer's, Stroke, or Parkinson's disease","Marziali, E; Donahue, P; Crossin, G","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","375","383","","","","",17,1.55,0,0,2,3,2,1,2,2,1,1,3,NA
"1063","Family caregivers of impoverished Mexican American elderly women: The perceived impact of adult day care centers","Valadez, AA; Lumadue, C; Gutierrez, B","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","384","392","","","","",5,0.45,0,0,1,0,1,1,0,0,0,1,1,NA
"1064","Unretired and better than ever: Older adults as foster parents for children","Goughler, DH; Trunzo, AC","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","393","400","","","","",4,0.36,0,0,0,0,0,0,0,3,0,1,0,NA
"1065","Community development with older adults in their neighborhoods: The elder friendly communities program","Austin, CD; Des Camp, E; Flux, D; McClelland, RW; Sieppert, J","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","401","409","","","","",10,0.91,0,1,0,3,1,0,0,2,1,1,1,NA
"1066","Community partnerships for older adults: A case study","Bolda, EJ; Lowe, JI; Maddox, GL; Patnaik, BS","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","411","418","","","","",6,0.55,0,1,1,1,0,0,0,1,1,0,1,NA
"1067","Advocacy in aging: Notes for the next generation","Freeman, IC","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","419","423","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1068","Advancing social work with older adults","Baskind, FR; Briar-Lawson, K","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","424","430","","","","",2,0.18,0,0,0,0,0,0,0,1,0,1,0,NA
"1069","Infusing aging skills into the social work practice community: A new look at strategies for continuing professional education","Geron, SM; Andrews, C; Kuhn, K","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","JUL-SEP 2005",2005,86,"3",NA,"","","431","440","","","","",5,0.45,0,0,1,0,1,1,0,1,0,0,1,NA
"1070","Social workers for rent: The contingency human services Labor force","Gibelman, M","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","457","469","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1071","Chronic child neglect: Needed developments in theory and practice","Wilson, D; Horner, W","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","471","481","","","","",11,1,0,0,0,0,1,1,1,4,1,1,2,NA
"1072","Serving two masters: when domestic violence and child abuse overlap","Postmus, JL; Ortega, D","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","483","490","","","","",11,1,0,0,0,2,0,1,3,0,5,0,0,NA
"1073","Research implications for the prevention of CNN abuse and neglect","Harder, J","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","491","501","","","","",2,0.18,0,0,0,1,0,0,0,1,0,0,0,NA
"1074","Emancipated young adults' perspectives on independent living programs","Georgiades, SD","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","503","510","","","","",5,0.45,0,0,0,1,2,1,0,1,0,0,0,NA
"1075","The acquisition of informed consent for foster children's research participation","Bogolub, EB","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","511","519","","","","",3,0.27,0,1,0,1,0,1,0,0,0,0,0,NA
"1076","Family characteristics and dynamics among families receiving postadoption services","Gibbs, D; Barth, RP; Houts, R","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","520","532","","","","",4,0.36,0,0,1,2,1,0,0,0,0,0,0,NA
"1077","The role of private adoption agencies in facilitating African American adoptions","Smith-McKeever, TC; McRoy, RG","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","533","540","","","","",2,0.18,0,0,0,0,1,0,1,0,0,0,0,NA
"1078","Perceptions of social support among heterosexual and homosexual adopters","Kindle, PA; Erich, S","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","541","546","","","","",9,0.82,0,0,0,1,1,3,1,0,1,1,1,NA
"1079","The feasibility of intrafamily and in-country adoptions on the Marsh Islands","Roby, JL; Whittenburg, KP","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","547","557","","","","",1,0.09,0,1,0,0,0,0,0,0,0,0,0,NA
"1080","Maximizing treatment effectiveness in clinical practice: An outcome-informed collaborative approach","Saggese, ML","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","558","564","","","","",3,0.27,0,0,0,0,1,0,0,1,0,0,1,NA
"1081","Relational social work: A model for the future","Ornstein, ED; Ganzer, C","",NA,NA,"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","OCT-DEC 2005",2005,86,"4",NA,"","","565","572","","","","",12,1.09,0,1,0,1,1,3,1,1,3,1,0,NA
