abstract,title,year,country,journal
"We identified predictors of social workers' intentions to integrate HIV and mental health care following Information, Motivation, Behavior Change (IMB) model trainings. We used multiple logistic regression analysis to understand applicability of the IMB model in promoting practice change. Significantly greater intentions to integrate care were found among participants who perceived an increase in knowledge (twofold) or who felt more comfortable (nearly fourfold) or capable (nearly fivefold) working with HIV-infected clients. Training that enhances knowledge and motivation enhanced social workers' intentions to change clinical practice. IMB-based training builds social worker capacity to deliver integrated care. The results support utility of the IMB model in enhancing HIV care.",IMB model in practice: social workers' intentions to change their practice following HIV mental health training.,2013,United States,Soc Work Health Care
"Persistent smoking following stroke is associated with poor outcomes including development of secondary stroke and increased mortality risk. This study uses longitudinal data from the U.S. Health and Retirement Study (1992-2008) to investigate whether depression and duration of inpatient hospital care impact smoking outcomes among stroke survivors (Nâ€‰=â€‰745). Longer duration of care was associated with lower likelihood of persistent smoking. Depression was associated with greater cigarette consumption. Interaction effects were also significant, indicating that for survivors who experienced longer inpatient care there was a weaker association between depression and cigarette consumption. Implications for practice and research are discussed.",Predictors of smoking patterns after first stroke.,2013,United States,Soc Work Health Care
"Poverty and youth unemployment are critical issues in South Africa with homeless persons begging at traffic light intersections in all major cities. Support services represent one way of empowering homeless youth. The study therefore examined the experiences of 10 homeless young adult males in Hillbrow, Johannesburg and whether they were aware of local health and social services. Qualitative interviews revealed that participants experienced poor health, addiction, physical violence, psychological trauma, and public hostility. Despite limited education, they were aware of and utilized local health and social services. Findings are discussed in terms of their implications for social work.","Realizing or relinquishing rights? Homeless youth, their life on the streets and their knowledge and experience of health and social services in Hillbrow, South Africa.",2013,United States,Soc Work Health Care
"Women with a diagnosis of breast cancer, particularly African-American women, face multiple barriers to survival. Although research exists regarding the unique barriers faced by African-American breast cancer survivors, there has been little research into the various coping needs or coping strategies used among African-American women. The purpose of this article is to provide information from an exploratory study of data investigating the coping skills of 30 African-American women diagnosed and treated for breast cancer. Quantitative data was collected via a self-report questionnaire based on the pretest of the Breast Cancer Survivors Toolbox. The study sample was evaluated to determine overall coping skills followed by an analysis of individual categories of coping skills (e.g., communication, information seeking, negotiating, social support systems, cultural norms). Although limited by the non-random sampling technique and self-report, the results of the study support the need for further research regarding the use of interventions and strategies tailored to improve coping skills used by this population.",Coping skills among African-American breast cancer survivors.,2013,United States,Soc Work Health Care
"For the social worker in the Veterans Health Administration (VA) System, numerous challenges are faced and met while serving the nation's Veterans. As part of the multidisciplinary team, social workers perform a variety of tasks and function in diverse roles. The qualitative survey research reported in this article sought to detail what social workers identified about the impact and rewards of their work and what they saw as the challenges and frustrations. In addition the social workers were asked to clarify their role with the patient and the family. Intervention strategies used in the course of the social workers interaction with the Veterans was also ascertained.","Social work in the Veterans Health Administration (VA) System: rewards, challenges, roles and interventions.",2013,United States,Soc Work Health Care
"While social work models of interdisciplinary collaboration suggest that communication is important, the research literature on social worker-physician collaboration infrequently considers work with pediatricians or practice outside the hospital setting. A cross-sectional survey was sent to a stratified random sample of social workers to assess their communication satisfaction with pediatricians. The study found that social workers in health settings were more satisfied than those in mental health settings. The implications of this finding for the development of colocated, collaborative care models are discussed.",Communicating with pediatricians: developing social work practice in primary care.,2013,United States,Soc Work Health Care
"Developing uniform criteria and a risk assessment clinical intervention plan to identify, assess, and assign psychosocial risk levels may help guide transplant social workers' interventions and justify their listing recommendation. This article describes a kidney pre-transplant psychosocial assessment instrument that is supported by psychosocial risk criteria and a risk assessment clinical intervention plan.",Description of a psychosocial assessment instrument and risk criteria to support social work recommendations for kidney transplant candidates.,2013,United States,Soc Work Health Care
"This study examined exposure to violence and risk for lethality in intimate partner relationships as factors related to co-occurring MH problems and use of mental health (MH) resources among women of African descent. Black women with intimate partner violence (IPV) experiences (nâ€‰=â€‰431) were recruited from primary care, prenatal or family planning clinics in the United States and the U.S. Virgin Islands. Severity of IPV was significantly associated with co-occurring MH problems, but was not associated with the use of MH resources among African-American women. Risk for lethality and co-occurring problems were also not significantly related to the use of resources. African Caribbean women with severe physical abuse experiences were significantly less likely to use resources. In contrast, severity of physical abuse was positively associated with the use of resources among Black women with mixed ethnicity. Severe IPV experiences are risk factors for co-occurring MH problems, which in turn, increases the need for MH services. However, Black women may not seek help for MH problems. Thus, social work practitioners in health care settings must thoroughly assess women for their IPV experiences and develop tailored treatment plans that address their abuse histories and MH needs.","Intimate partner violence, depression, PTSD, and use of mental health resources among ethnically diverse black women.",2013,United States,Soc Work Health Care
"Research on the relationship between intimate partner violence (IPV) and postpartum depression (PPD) is limited. Numerous antecedents and consequences of both IPV and PPD are noted in the literature; however, understanding the mechanisms by which intimate partner violence impacts the postpartum mood are not clearly understood. This study utilized retrospective chart reviews from a pediatric/perinatal social work outreach program to explore urban minority women experiences with IPV and depression both during pregnancy and after. Findings do not suggest a direct relationship between IPV and PPD; however, there was a high co-occurrence of prenatal depression and PPD. The severity of IPV appears to influence the occurrence and acuity of prenatal depression suggesting an indirect relationship. Implications for health and social work practitioners are discussed.",An exploratory analysis of intimate partner violence and postpartum depression in an impoverished urban population.,2013,United States,Soc Work Health Care
"This study explored the ways in which health social workers (HSW) address the social determinants of health (SDH) within their social work practice. Social workers (nâ€‰=â€‰54) employed at major hospitals across Toronto had many years of practice in health care (Mâ€‰=â€‰11 years; SDâ€‰=â€‰10.32) and indicated that SDH were a top priority in their daily work; with 98% intentionally intervening with at least one and 91% attending to three or more. Health care services were most often addressed (92%), followed by housing (72%), disability (79%), income (72%), and employment security (70%). Few HSW were tackling racism, Aboriginal status, gender, or social exclusion in their daily practice.",Making the invisible visible: are health social workers addressing the social determinants of health?,2013,United States,Soc Work Health Care
"African American and Latino youth who reside in inner-city communities are at heightened risk for compromised mental health, as their neighborhoods are too often associated with serious stressors, including elevated rates of poverty, substance abuse, community violence, as well as scarce youth-supportive resources, and mental health care options. Many aspects of disadvantaged urban contexts have the potential to thwart successful youth development. Adolescents with elevated mental health needs may experience impaired judgment, poor problem-solving skills, and conflictual interpersonal relationships, resulting in unsafe sexual behavior and drug use. However, mental health services are frequently avoided by urban adolescents who could gain substantial benefit from care. Thus, the development of culturally sensitive, contextually relevant and effective services for urban, low-income African American and Latino adolescents is critical. Given the complexity of the mental health and social needs of urban youth, novel approaches to service delivery may need to consider individual (i.e., motivation to succeed in the future), family (i.e., adult support within and outside of the family), and community-level (i.e., work and school opportunities) clinical components. Step-Up, a high school-based mental health service delivery model has been developed to bolster key family, youth and school processes related to youth mental health and positive youth development. Step-Up (1) intervenes with urban minority adolescents across inner-city ecological domains; (2) addresses multiple levels (school, family and community) in order to target youth mental health difficulties; and (3) provides opportunities for increasing youth social problem-solving and life skills. Further, Step-Up integrates existing theory-driven, evidence-based interventions. This article describes Step-Up clinical goals, theoretical influences, as well as components and key features, and presents preliminary data on youth engagement for two cohorts of students.",Step-Up: Promoting Youth Mental Health and Development in Inner-City High Schools.,2013,United States,Clin Soc Work J
,Incorporating discussion of sibling violence in the curriculum of parent intervention programs for child abuse and neglect.,2013,United States,Health Soc Work
"This study examined the relationships between service barriers and health status of aging South Asian immigrants. Data were obtained through a structured telephone survey with a random sample of 220 South Asians 55 years of age and older. The effect of the different types of service barriers on the physical and mental health of participants was examined using hierarchical multiple regression, while adjusting for participants' sociocultural demographic backgrounds. An average of 5.9 types of service barriers were reported. Among the four major types of barriers--cultural incompatibility, personal attitude, administrative problems, and circumstantial challenges--more barriers related to personal attitude predicted less favorable physical and mental health. In regard to health prevention, culturally appropriate strategies should be developed and implemented to help aging South Asians to overcome barriers related to personal attitude so that they can have better access to appropriate services.","Effect of service barriers on health status of aging South Asian immigrants in Calgary, Canada.",2013,United States,Health Soc Work
"African Americans and Latinos are underrepresented in clinical trials. The purpose of this study was to elicit solutions to participation barriers from African Americans and Latinos. Fifty-seven adults (32 African Americans, 25 Latinos) ages 50 years and older participated. The Institute of Medicine's Unequal Treatment conceptual framework was used. Six racially/ ethnically homogenous focus groups were conducted at five sites in three counties. Themes within groups and cross-cutting themes were identified. The NVIVO program was used for data classification. The data were reviewed for final coding and consensus. Shared solutions included addressing costs, recruiting in community contexts, conducting community and individualized patient education, and sharing patient safety information. Participants were unanimously in favor of clinical trials navigation recruitment interventions. Solutions specific to African Americans included diversifying research teams, recognizing past research abuses, and increasing community trust. Solutions specific to Latinos included providing low-literacy materials, providing Spanish-speaking clinicians and advocates, and clarifying that immigration status would neither be documented nor prevent participation. Solutions from African Americans and Latinos reflect their cultural backgrounds and historical experiences. The results suggest the importance of developing a tailored, barriers-focused navigation intervention to improve participation among diverse racial and ethnic populations.","Unequal burden of disease, unequal participation in clinical trials: solutions from African American and Latino community members.",2013,United States,Health Soc Work
"In April 2010, President Obama issued a directive to the Secretary of Health and Human Services (HHS) regarding patient visitation, advance directives, and other initiatives to improve the lives of lesbian, gay, bisexual, and transgender people and their families. The HHS response to this directive has implications for hospital social workers. The purpose of this secondary data analysis was to explore indicators of social work readiness to support implementation of the resulting initiatives. A historical context for the changes is provided, inclusive of the cases that spurred the presidential memorandum. The findings are presented within the framework of the profession's standards for social work practice in health care and end-of-life care. Recommendations for enhancing social work readiness for a critical role in implementation of the new regulations are presented.",Department of health and human services changes: implications for hospital social workers.,2013,United States,Health Soc Work
"Social workers delivering services in health care settings face unique challenges and opportunities. The purpose of this study was to solicit input from social workers employed in urban hospitals about their perceptions of the roles, contribution, and professional functioning of social work in a rapidly changing health care environment. Using qualitative methods, the university and hospital-based research team conducted seven focus groups (n = 65) at urban hospitals and analyzed the data using an interpretive framework with ATLAS.ti software. Seven major themes emerged from the participants' description of their roles: bouncer, janitor, glue, broker, firefighter, juggler, and challenger. Along with descriptions of the ways social workers fulfilled those roles, participants articulated differences in status within those roles, the increasing complexity of discharge planning, and expectations to provide secondary support to other health care professionals on their teams. Implications for practice and research are discussed.","Bouncers, brokers, and glue: the self-described roles of social workers in urban hospitals.",2013,United States,Health Soc Work
,"Health coverage for America: signed, sealed, and delivered by the 2012 election.",2013,United States,Health Soc Work
"This exploratory study focused on the experience and management of vicarious trauma in a team of social workers (Nâ€‰=â€‰16) at a specialist cancer hospital in Melbourne. Respondents completed the Traumatic Stress Institute Belief Scale (TSIBS), the Professional Quality of Life Scale (ProQOL), and participated in four focus groups. The results from the TSIBS and the ProQol scales confirm that there is a stress associated with the social work role within a cancer service, as demonstrated by the high scores related to stress. However at the same time the results indicated a high level of satisfaction which acted as a mitigating factor. The study also highlighted the importance of supervision and management support. A model for clinical social work supervision is proposed to reduce the risks associated with vicarious trauma.",Social work in oncology-managing vicarious trauma-the positive impact of professional supervision.,2013,United States,Soc Work Health Care
"This research used a collaborative approach to gain a comprehensive, quantitative understanding of the breadth and depth of the social work role in health care. Data was collected from individual interviews with all employed hospital social workers (Nâ€‰=â€‰120) across five Melbourne, Australia health networks about their most recently completed case. This data was coded using a revised version of the Karls and Wandrei (1994) Person-in-Environment (PIE) tool to retrospectively analyze the reasons for social work involvement over the course of the case. The findings demonstrate that the hospital social work role is multidimensional across a number of domains but centers predominantly on assisting clients and their significant others with issues of altered social roles and functioning; particularly in relation to role responsibility, dependency, and managing associated role-change losses. The findings of this study will assist hospital social workers, managers, and academics to better describe and effectively undertake this complex work. These findings will also assist in the development of professional training and education to up-skill social workers who operate within this complex setting.",The why of practice: utilizing PIE to analyze social work practice in Australian hospitals.,2013,United States,Soc Work Health Care
"Perinatal mental health has become the focus for policymakers, government, research, the acute health sector, and health practitioners. The aim of this clinical data-mining study ( Epstein, 2010 ) was to undertake a retrospective exploration into the primary mental health and psychosocial issues experienced by women who were pregnant and accessing obstetric care at one of the largest maternity hospitals in Australia. The study also investigated service pathways and gaps. Aboriginal women were overrepresented, demonstrating their ongoing disadvantage, whereas other linguistically and culturally diverse women were underrepresented, suggesting the existence of barriers to service. Although psychosocial factors tend to be underreported ( Buist et al., 2002 ), the findings highlighted the integral rather than peripheral nature of these factors during pregnancy ( Vilder, 2006 ) and suggest the need for change to systems that work to support women's perinatal mental health.",Maternal mental health: pathways of care for women experiencing mental health issues during pregnancy.,2013,United States,Soc Work Health Care
"There is a striking absence of literature articulating and evaluating clinical social work contributions to suicide prevention, despite considerable practice in this important field. This article reports on a model of assertive brief psychotherapeutic intervention and facilitated linkage to community services utilized in a prospective cohort study of emergency department suicide attempt aftercare. A key outcome measure, the Manchester Short Assessment of Quality of Life (MANSA), was used with 65 patients to assess psychosocial domains at initial presentation, 4-weeks, 3-months, and 6-months. There were significant improvements in the domains of work, finance, leisure, social life, living situation, personal safety and health by 3 months. There were highly significant correlations between psychosocial improvements and improved depression scores.",A social work contribution to suicide prevention through assertive brief psychotherapy and community linkage: use of the Manchester Short Assessment of Quality of Life (MANSA).,2013,United States,Soc Work Health Care
"Elderly patients presenting to St. Vincent's Health Emergency Department (ED) constitute approximately one third of presentations. A significant proportion of these involve preexisting conditions including depression that, within elderly patients, is associated with social isolation, physical and mental health problems, and barriers to accessing community services. It is also often overlooked as a clinical diagnosis among the elderly. This study aimed to assess the efficacy of a brief depression screening tool and examine the change over time in quality of life and social factors for elderly patients who present to ED. Patients aged 65 years and over were screened for depression using a short form of the Geriatric Depression Scale (GDS-15). Participants were randomized into control (usual care) and intervention (an assertive outreach community management program) groups and assessed in relation to depression, quality of life, and social support/functioning at recruitment and 6 weeks post discharge. Approximately one in four participants experienced mild to moderate depression that was related to medical factors and associated reduced mobility. This study suggests that an assertive outreach program, with the inclusion of community intervention and links to social supports and services, could improve the management of depression in the elderly and associated health outcomes.","Caring for depressed elderly in the emergency department: establishing links between sub-acute, primary, and community care.",2013,United States,Soc Work Health Care
"The complex interrelationship between depressive disorders and chronic disease has significant implications for both chronic disease management and the treatment of depression. In this article, the results of a mixed method, clinical data-mining (CDM) study ( Epstein, 2010 ) were combined with an original survey of Emergency Department staff, to design a program of intervention that targets patients with chronic illness, presenting to an Australian Acute-Care Hospital.",Encouraging self-management in chronically ill patients with co-morbid symptoms of depression and anxiety: an emergency department study and response.,2013,United States,Soc Work Health Care
"The aim of this study was to explore and identify the contribution of complex psychosocial factors to secondary risk prevention for Myocardial Infarction (MI) among adults under 55 years. Participants included 30 MI patients who were admitted to St. Vincent's Health in Melbourne. A repeated measures mixed measures methodology was used to examine demographic information, depressive symptomatology, physical and emotional wellbeing, and social functioning during hospitalization and at 3 and 6 months post discharge. Participants demonstrated severe depression at initial assessment but this reduced significantly post discharge. Depression at initial assessment aligned with reports of intense fear of increased mortality. The reduction in depression scores at 3 and 6 months aligned with emotional management of the crisis and improvements in general health, and physical and social functioning. The majority of patients did not participate in community rehabilitation, naming informal supports as the most significant. These results lend support to the use of crisis intervention and empowerment strategies as key elements of cardiac rehabilitation programs, to improve physical functioning and attend to depressive symptomatology in a proactive way, to improve secondary risk prevention among young patients who experience an MI event.",The contribution of psychosocial factors to secondary risk prevention for myocardial infarction in young adults.,2013,United States,Soc Work Health Care
"Awareness about the specific needs of Adolescents and Young Adults (AYA) aged 15-25 with a diagnosis of cancer has grown rapidly over the past 10 years. To improve outcomes for these patients it is essential that services are developed within youth friendly models. This requires awareness by healthcare professionals of unique biological, genetic, epidemiological, psychological, social, and cultural factors that affect the AYA population. This study sought to explore oncology professionals understanding of the healthcare preferences of AYAs with cancer receiving treatment at a specialist cancer centre. Participants comprised 60 professionals in allied health (n = 15); nursing (n = 32); oncology (n = 6) and those from the Victorian AYA Cancer Service (n = 7). A questionnaire, developed from pilot work, collected demographic information, investigated professionals' top five perceived issues for AYAs, and examined perceptions in the areas of communication; information provision; environment; services; education, employment and social life, fertility and sexuality; support and survivorship. Results illustrate that, with a strong focus on survival and physical wellbeing, professionals significantly underestimate the breadth of AYA psychosocial concerns. The findings further indicate: that young people report different healthcare preferences compared to those reported by professionals; there are varying levels of professional skill, experience and confidence; there are significant workforce development and support needs for professionals; and AYA models of care require rigorous evaluation to ensure the improvement of outcomes for young people living with cancer.",An exploratory study of oncology specialists' understanding of the preferences of young people living with cancer.,2013,United States,Soc Work Health Care
"Little is known about the experience of Chinese migrants to Australia who are caring for a person with schizophrenia. The research was exploratory in nature, providing information on the health, help-seeking behaviors, burden, and caring experiences of Chinese carers of people with schizophrenia in Melbourne. Ethnic Chinese carers of people with schizophrenia were recruited. Health care or social service professionals were also interviewed to understand the context of Chinese migrants in seeking help for mental health problems and caring for someone with psychiatric illness. Recommendations for Chinese migrants facing mental health problems and challenges for social work practice are described.",Experiences of Chinese migrants caring for family members with schizophrenia in Australia.,2013,United States,Soc Work Health Care
"Music is central in most children's lives. Understanding its relevance will advance efficacious pediatric supportive cancer care. Qualitative clinical data-mining uncovered four music therapists' perspectives about music and music therapy's relevance for pediatric oncology patients up to 14 years old. Inductive and comparative thematic analysis was performed on focus group transcripts and qualitative interrater reliability integrated. Music can offer children a safe haven for internalizing a healthy self-image alongside patient identity. Music therapy can calm, relieve distress, promote supportive relationships, enable self-care, and inspire playful creativity, associated with &quot;normalcy&quot; and hope. Preferred music and music therapy should be available in pediatric oncology.",Music's relevance for children with cancer: music therapists' qualitative clinical data-mining research.,2013,United States,Soc Work Health Care
"Despite the reputation of Melbourne, Australia, as a socially advanced city in the early twentieth century, professional social work training did not commence at what was then the city's only university, until 1941. This article describes the strategies by a coalition of wealthy philanthropists, welfare organizations, medical practitioners, social workers, and The University of Melbourne itself to establish such professional training. It does so with exploration of the hitherto unrecognized influence of New York Social Work and the unique intellectual leadership of the director of training of the founding Social Work course in Melbourne, Miss Jocelyn S. Hylsop.","Moving among friends: the establishment of professional social work education at the University of Melbourne, 1929-1941.",2013,United States,Soc Work Health Care
,"Introduction to special issue: current themes in health social work practice research: academic, practice partnerships at the University of Melbourne.",2013,United States,Soc Work Health Care
"This study investigated attributions of autonomy and competence. Respondents completed items following one of four vignettes in which a character was identified as an older male, younger male, older female, or younger female with a history of hallucinations, substance abuse, and living on the street. Respondents viewed the vignette character as suffering from malnutrition, alcoholism, depression, and likely to commit suicide. A General Linear Model revealed harsher perceptions toward the older vignette characters. When controlling for educational exposure to aging and psychopathology, there were significant differences in eight of 37 items (Fâ€‰=â€‰116.270, dfâ€‰=â€‰37, p &lt; .001).",Attributions of autonomy and competence of older and younger homeless mentally ill.,2013,United States,Soc Work Health Care
"This study aimed to examine the quality of life (QOL) of patients with advanced cancer in Hong Kong. Ninety participants were recruited from the oncology ward of the study hospital. They responded to a 28-item, 8-subscale multidimensional questionnaire and a single-item scale that measured QOL in a face-to-face interview. Participation in health care decisions, food-related concerns, and existential distress were some QOL concerns that require health care professionals' attention. Walking ability predicted the level of QOL in certain QOL domains that surfaces patients' need for rehabilitation. That the QOL domain value of life was the most important domain that predicted overall QOL calls for meaning-of-life interventions for palliative care.",Quality-of-life concerns of Chinese patients with advanced cancer.,2013,United States,Soc Work Health Care
"Data from a national study of 345 privately funded, community-based substance use disorder (SUD) treatment centers were used to investigate social workers' knowledge, perceptions of effectiveness, and perceptions of the acceptability of medication assisted treatments (MATs) for SUDs. Results reveal the importance of exposure to MATs for social workers to develop a knowledge base regarding the effectiveness of various pharmacological agents. Results also underline the importance of social workers' perceptions of effectiveness in forming opinions regarding the acceptability of the use of MATs in SUD treatment. Lastly, a 12-Step orientation toward treatment has a negative influence on social workers' opinions regarding the acceptability of MATs.",Social workers' knowledge and perceptions of effectiveness and acceptability of medication assisted treatment of substance use disorders.,2013,United States,Soc Work Health Care
"Health care has evolved rapidly in Saudi Arabia, based on a Western model of service that incorporates multidisciplinary professional teams. Social work practice forms part of patient care. Within the cultural context of Saudi Arabia, social work education is developing and so too is the role of the practitioner in the hospital system. However, little is known about how social workers are integrated into the hospital setting. This study explores how Saudi social workers perceive their role and how they describe their practice. A quantitative methodology was employed using a self-administered questionnaire design. Analyses showed a number of perceived limitations that precluded effective performance in practicing social workers; these included difficulties related to updating job skills, followed by a perceived deficiency in current supervisory support.",A discussion of professional issues of hospital social workers in Saudi Arabia.,2013,United States,Soc Work Health Care
"Latinos underutilize mental health care services. Of those who do, about 70% do not return after the initial visit. This study's purposes were: (1) to identify factors that led non-U.S.-born Latinos to utilize services from a nonprofit clinic in Texas and (2) to assess whether acculturation played a role in accessing mental health care. Data were collected over a 10-week period using an interview schedule and the Bidimensional Acculturation Scale for Latinos. Results indicate acculturation does not play a significant role in access, but patient knowledge of mental health care issues does. Specifically, the main barriers to access were: (1) lack of knowledge that there was a mental health issue; and (2) lack of knowledge of where to go for mental health services.",What leads non-U.S.-Born Latinos to access mental health care?,2013,United States,Soc Work Health Care
"Live kidney transplantation (LKT) is underused by patients with end-stage renal disease. Easily implementable and effective interventions to improve patients' early consideration of LKT are needed. The Talking About Live Kidney Donation (TALK) social worker intervention (SWI) improved consideration and pursuit of LKT among patients with progressive chronic kidney disease in a recent randomized controlled trial: Patients and their families were invited to meet twice with a social worker to discuss their self-identified barriers to seeking LKT and to identify solutions to barriers. The authors audio recorded and transcribed all social worker visits to assess implementation of the TALK SWI and its acceptability to patients and families. The study social worker adhered to the TALK SWI protocol more than 90 percent of the time. Patients and families discussed medical (for example, long-term risks of transplant), psychological (for example, patients' denial of the severity of their disease), and economic (for example, impact of donation on family finances) concerns regarding LKT. Most patients and families felt that the intervention was helpful. Consistently high adherence to the TALK SWI protocol and acceptability of the intervention among patients and families suggest that the TALK SWI can be feasibly implemented in clinical practice.",Feasibility and acceptability of the TALK social worker intervention to improve live kidney transplantation.,2013,United States,Health Soc Work
"Medicare Part D was enacted to help elderly and disabled individuals pay for prescription drugs, but it was structured with a gap providing no coverage in 2010 between $2,830 and $6,440. Patients with end-stage renal disease (ESRD) are especially likely to be affected due to high costs of dialysis-related drugs and the importance of adherence for overall health. Researchers from social work, pharmacy, and dietetics interviewed 12 patients with ESRD to learn about strategies and challenges during the coverage gap. Constant comparison generated the following themes: the experience of hitting the gap, management strategies, physical and emotional consequences, and advice for others. Results suggest that patients could benefit from greater involvement with professionals and peers to prepare for and manage their medications during the coverage gap and for support in dealing with emotional consequences and stress related to financial pressures and living with a serious health condition.",How end-stage renal disease patients manage the Medicare Part D coverage gap.,2013,United States,Health Soc Work
"Native Hawaiian women have the highest breast cancer incidence and mortality rates when compared with other large ethnic groups in Hawai'i. Like other women, they rely on the support of their families as co-survivors. This project explored the feasibility and effects of a culturally tailored educational intervention designed to build family capacity by improving the knowledge and skills of the woman and her family in dealing with breast cancer, particularly in the latter stage of recovery care. Twenty-nine Native Hawaiian women with breast cancer, along with a close family member, were randomly assigned to the intervention (n = 15) or a wait-list control group (n = 14). The authors assessed the knowledge, self-efficacy, and coping skills of women and their family members and the recovery care behaviors of the women at baseline and at four months (after the intervention or control period). The intervention group made significant improvements in self-efficacy and coping; the wait-list control group did not. Evaluation of the intervention suggests that it was well received by participants. This work has relevance for social workers wanting to design and test culturally appropriate interventions for minority groups.",Building family capacity for Native Hawaiian women with breast cancer.,2013,United States,Health Soc Work
"This focus group study explored the potential benefits and challenges of involving family members and significant others in a healthy lifestyle program for people with serious mental illness (SMI). Six focus group interviews were conducted with a total of 30 people with SMI, who were participants in a healthy lifestyle intervention. Separate focus groups were conducted for high and low achievers in the program based on clinically significant weight loss or significant increase in fitness. Thematic analysis revealed that social support for diet and exercise was a perceived benefit to involving others in a healthy lifestyle program. Other perceived benefits were the potential to increase others' understanding of the challenges of living with mental illness and to enhance the quality of relationships. Participants identified practical and logistical concerns that could interfere with participation, including partner reliability and desirability, scheduling, and lack of financial resources. Participants in the high achiever group expressed a greater desire to involve others in exercise than did participants in the low achiever group. Programs aimed at helping people with SMI make lifestyle changes may increase their effectiveness by involving significant others. Mobilizing social support networks for health behavior change is an ideal role for social workers.",Consumer perspectives on involving family and significant others in a healthy lifestyle intervention.,2013,United States,Health Soc Work
"The high cervical cancer mortality rate among Latinas compared with other ethnic groups in the United States is of major concern. Latina women are almost twice as likely to die from cervical cancer as non-Hispanic white women. To improve Latina cervical cancer screening rates, interventions have been developed and tested. This systematic review was undertaken to determine the effectiveness of such studies. Studies involving both experimental and quasi-experimental designs were located (N = 6), and odds ratios were calculated for screening behavior. The pooled effect of these programs was negligible, and implications are derived from this finding.",Cervical cancer screening interventions for U.S. Latinas: a systematic review.,2013,United States,Health Soc Work
,Medicaid and the Affordable Care Act after the Supreme Court decision.,2013,United States,Health Soc Work
"Latinos are the largest and fastest growing minority youth group in the United States. Currently, Latino adolescents experience higher rates of teen pregnancy compared to any other racial or ethnic group and have disproportionately high levels of sexually transmitted infections and HIV. Latino teens are also affected by a number of social problems such as school dropout, poverty, depression and limited access to healthcare, which contributes to disparities in reproductive health outcomes for this population. Relatively few intervention research studies and programs have been dedicated to reducing sexual risk among Latino youth, despite their particular vulnerabilities in experiencing negative reproductive health outcomes. We provide recommendations for identifying the unique reproductive health needs of Latino youth and specific applied strategies so that agency-based social workers and other providers can develop family-based interventions that improve adolescent Latino sexual and reproductive health.",Latino Adolescent Reproductive and Sexual Health Behaviors and Outcomes: Research Informed Guidance for Agency-based Practitioners.,2013,United States,Clin Soc Work J
"This article draws on the unified theory of behavior change to examine adult community members' participation in a collaborative, community-based HIV prevention program for inner-city youth. Specifically, the impact of a training and mentorship process is examined with a sample of parent facilitators hired to deliver an evidence-based HIV prevention program in Bronx, New York. Findings indicate that the training program impacted four of five key constructs (environmental constraints, habitual behavior, social norms, and self-concept) expected to be related to parents' ability to deliver the program constructs significantly beyond any increase evidenced by the control group (HIV knowledge increased in both groups). Community-level training programs may therefore be an effective medium for increasing caregivers' intention to collaborate in community-based prevention programs.",Collaboration With Urban Parents to Deliver a Community-Based Youth HIV Prevention Program.,2013,United States,Fam Soc
"The association between parental depression and child maladjustment is well documented in the literature. Less is known about the strengths and potential protective mechanisms that help promote resilience for this population. This literature review on resilience in these families was conducted to help inform policy and practice for these families. Five protective factors (goodness of fit, self-esteem and self-efficacy, social support, family functioning, and opportunities for change) and four practice principles (discovery of resources and abilities, explanation of risk and protective factors, development of both collaborative family relationships, and social support) emerged from this review. Implications for policy and practice in light of these principles are provided.",Working with families in which a parent has depression: A resilience perspective.,2013,United States,Fam Soc
"OBJECTIVES: There is a growing literature indicating that organizational and individual worker-level factors affect decisions about whether or not empirically supported treatments (ESTs) are adopted within health care agencies. The purpose of this pilot study is to further investigate and measure worker's attitudes within a community organization. METHOD: A small organization participated in the study due to their diversity in services offered. Of the 92 workers eligible for participation in the study, 66 (72%) completed the Evidence-Based Practice Attitude scale survey. RESULTS: Multivariate analyses revealed that female workers scored higher on both Openness and total score; workers with nursing, education, or psychology majors scored lower than workers with other (excluding social work) majors on both Divergence and total score; and that older workers scored higher on Divergence. CONCLUSION: Although small, this study identifies individual characteristics that are most likely to fit the profile of an EST adopter.",Individual Worker-Level Attitudes Toward Empirically Supported Treatments.,2012,United States,Res Soc Work Pract
"OBJECTIVES: With the continued push to implement empirically supported treatments (ESTs) into community-based organizations, it is important to investigate whether working condition disruptions occur during this process. While there are many studies investigating best practices and how to adopt them, the literature lacks studies investigating the working conditions in programs that currently use ESTs. METHOD: This study compared the culture and climate scores of a large organization's programs that use ESTs and those programs indicating no EST usage. RESULTS: Of the total 55 different programs (1,273 frontline workers), 27 programs used ESTs. Results indicate that the programs offering an EST had significantly more rigid and resistant cultures, compared to those without any ESTs. In regard to climate, programs offering an EST were significantly less engaged, less functional, and more stressed. CONCLUSION: Outcomes indicate a significant disruption in organizational culture and climate for programs offering ESTs.",Empirically Supported Treatment's Impact on Organizational Culture and Climate.,2012,United States,Res Soc Work Pract
